Ano,Universo,Acertos simulados
2018,Todos os candidatos,214
2018,Todos os candidatos,216
2018,Todos os candidatos,235
2018,Todos os candidatos,222
2018,Todos os candidatos,220
2018,Todos os candidatos,216
2018,Todos os candidatos,224
2018,Todos os candidatos,226
2018,Todos os candidatos,219
2018,Todos os candidatos,225
2018,Todos os candidatos,235
2018,Todos os candidatos,235
2018,Todos os candidatos,230
2018,Todos os candidatos,213
2018,Todos os candidatos,242
2018,Todos os candidatos,228
2018,Todos os candidatos,205
2018,Todos os candidatos,215
2018,Todos os candidatos,217
2018,Todos os candidatos,234
2018,Todos os candidatos,219
2018,Todos os candidatos,215
2018,Todos os candidatos,214
2018,Todos os candidatos,227
2018,Todos os candidatos,232
2018,Todos os candidatos,239
2018,Todos os candidatos,223
2018,Todos os candidatos,215
2018,Todos os candidatos,226
2018,Todos os candidatos,233
2018,Todos os candidatos,220
2018,Todos os candidatos,216
2018,Todos os candidatos,227
2018,Todos os candidatos,212
2018,Todos os candidatos,227
2018,Todos os candidatos,236
2018,Todos os candidatos,246
2018,Todos os candidatos,218
2018,Todos os candidatos,237
2018,Todos os candidatos,234
2018,Todos os candidatos,225
2018,Todos os candidatos,214
2018,Todos os candidatos,222
2018,Todos os candidatos,213
2018,Todos os candidatos,234
2018,Todos os candidatos,227
2018,Todos os candidatos,224
2018,Todos os candidatos,219
2018,Todos os candidatos,218
2018,Todos os candidatos,211
2018,Todos os candidatos,232
2018,Todos os candidatos,232
2018,Todos os candidatos,218
2018,Todos os candidatos,218
2018,Todos os candidatos,222
2018,Todos os candidatos,214
2018,Todos os candidatos,222
2018,Todos os candidatos,229
2018,Todos os candidatos,208
2018,Todos os candidatos,241
2018,Todos os candidatos,237
2018,Todos os candidatos,214
2018,Todos os candidatos,242
2018,Todos os candidatos,211
2018,Todos os candidatos,224
2018,Todos os candidatos,229
2018,Todos os candidatos,218
2018,Todos os candidatos,235
2018,Todos os candidatos,230
2018,Todos os candidatos,206
2018,Todos os candidatos,233
2018,Todos os candidatos,222
2018,Todos os candidatos,209
2018,Todos os candidatos,222
2018,Todos os candidatos,229
2018,Todos os candidatos,212
2018,Todos os candidatos,206
2018,Todos os candidatos,210
2018,Todos os candidatos,220
2018,Todos os candidatos,233
2018,Todos os candidatos,224
2018,Todos os candidatos,229
2018,Todos os candidatos,230
2018,Todos os candidatos,228
2018,Todos os candidatos,214
2018,Todos os candidatos,242
2018,Todos os candidatos,222
2018,Todos os candidatos,229
2018,Todos os candidatos,220
2018,Todos os candidatos,223
2018,Todos os candidatos,234
2018,Todos os candidatos,216
2018,Todos os candidatos,219
2018,Todos os candidatos,209
2018,Todos os candidatos,234
2018,Todos os candidatos,215
2018,Todos os candidatos,238
2018,Todos os candidatos,230
2018,Todos os candidatos,231
2018,Todos os candidatos,218
2018,Todos os candidatos,210
2018,Todos os candidatos,226
2018,Todos os candidatos,211
2018,Todos os candidatos,223
2018,Todos os candidatos,229
2018,Todos os candidatos,226
2018,Todos os candidatos,237
2018,Todos os candidatos,227
2018,Todos os candidatos,240
2018,Todos os candidatos,242
2018,Todos os candidatos,218
2018,Todos os candidatos,224
2018,Todos os candidatos,221
2018,Todos os candidatos,223
2018,Todos os candidatos,225
2018,Todos os candidatos,220
2018,Todos os candidatos,246
2018,Todos os candidatos,215
2018,Todos os candidatos,234
2018,Todos os candidatos,222
2018,Todos os candidatos,237
2018,Todos os candidatos,224
2018,Todos os candidatos,228
2018,Todos os candidatos,206
2018,Todos os candidatos,217
2018,Todos os candidatos,227
2018,Todos os candidatos,222
2018,Todos os candidatos,244
2018,Todos os candidatos,219
2018,Todos os candidatos,224
2018,Todos os candidatos,232
2018,Todos os candidatos,227
2018,Todos os candidatos,227
2018,Todos os candidatos,224
2018,Todos os candidatos,229
2018,Todos os candidatos,232
2018,Todos os candidatos,211
2018,Todos os candidatos,219
2018,Todos os candidatos,230
2018,Todos os candidatos,214
2018,Todos os candidatos,225
2018,Todos os candidatos,225
2018,Todos os candidatos,231
2018,Todos os candidatos,226
2018,Todos os candidatos,223
2018,Todos os candidatos,216
2018,Todos os candidatos,213
2018,Todos os candidatos,206
2018,Todos os candidatos,215
2018,Todos os candidatos,235
2018,Todos os candidatos,238
2018,Todos os candidatos,229
2018,Todos os candidatos,218
2018,Todos os candidatos,210
2018,Todos os candidatos,218
2018,Todos os candidatos,226
2018,Todos os candidatos,237
2018,Todos os candidatos,238
2018,Todos os candidatos,217
2018,Todos os candidatos,240
2018,Todos os candidatos,214
2018,Todos os candidatos,237
2018,Todos os candidatos,230
2018,Todos os candidatos,228
2018,Todos os candidatos,216
2018,Todos os candidatos,226
2018,Todos os candidatos,227
2018,Todos os candidatos,237
2018,Todos os candidatos,220
2018,Todos os candidatos,225
2018,Todos os candidatos,239
2018,Todos os candidatos,223
2018,Todos os candidatos,239
2018,Todos os candidatos,217
2018,Todos os candidatos,233
2018,Todos os candidatos,212
2018,Todos os candidatos,221
2018,Todos os candidatos,227
2018,Todos os candidatos,219
2018,Todos os candidatos,233
2018,Todos os candidatos,218
2018,Todos os candidatos,213
2018,Todos os candidatos,227
2018,Todos os candidatos,238
2018,Todos os candidatos,233
2018,Todos os candidatos,223
2018,Todos os candidatos,212
2018,Todos os candidatos,254
2018,Todos os candidatos,228
2018,Todos os candidatos,225
2018,Todos os candidatos,204
2018,Todos os candidatos,238
2018,Todos os candidatos,227
2018,Todos os candidatos,231
2018,Todos os candidatos,236
2018,Todos os candidatos,225
2018,Todos os candidatos,202
2018,Todos os candidatos,230
2018,Todos os candidatos,225
2018,Todos os candidatos,226
2018,Todos os candidatos,230
2018,Todos os candidatos,212
2018,Todos os candidatos,230
2018,Todos os candidatos,222
2018,Todos os candidatos,224
2018,Todos os candidatos,207
2018,Todos os candidatos,220
2018,Todos os candidatos,223
2018,Todos os candidatos,229
2018,Todos os candidatos,216
2018,Todos os candidatos,229
2018,Todos os candidatos,229
2018,Todos os candidatos,211
2018,Todos os candidatos,236
2018,Todos os candidatos,224
2018,Todos os candidatos,222
2018,Todos os candidatos,208
2018,Todos os candidatos,227
2018,Todos os candidatos,224
2018,Todos os candidatos,245
2018,Todos os candidatos,221
2018,Todos os candidatos,213
2018,Todos os candidatos,222
2018,Todos os candidatos,232
2018,Todos os candidatos,230
2018,Todos os candidatos,215
2018,Todos os candidatos,216
2018,Todos os candidatos,229
2018,Todos os candidatos,216
2018,Todos os candidatos,225
2018,Todos os candidatos,233
2018,Todos os candidatos,206
2018,Todos os candidatos,225
2018,Todos os candidatos,221
2018,Todos os candidatos,223
2018,Todos os candidatos,218
2018,Todos os candidatos,219
2018,Todos os candidatos,232
2018,Todos os candidatos,240
2018,Todos os candidatos,229
2018,Todos os candidatos,222
2018,Todos os candidatos,239
2018,Todos os candidatos,218
2018,Todos os candidatos,223
2018,Todos os candidatos,222
2018,Todos os candidatos,237
2018,Todos os candidatos,214
2018,Todos os candidatos,216
2018,Todos os candidatos,220
2018,Todos os candidatos,211
2018,Todos os candidatos,219
2018,Todos os candidatos,218
2018,Todos os candidatos,233
2018,Todos os candidatos,228
2018,Todos os candidatos,223
2018,Todos os candidatos,213
2018,Todos os candidatos,234
2018,Todos os candidatos,236
2018,Todos os candidatos,231
2018,Todos os candidatos,228
2018,Todos os candidatos,231
2018,Todos os candidatos,231
2018,Todos os candidatos,213
2018,Todos os candidatos,229
2018,Todos os candidatos,225
2018,Todos os candidatos,222
2018,Todos os candidatos,224
2018,Todos os candidatos,229
2018,Todos os candidatos,227
2018,Todos os candidatos,220
2018,Todos os candidatos,226
2018,Todos os candidatos,217
2018,Todos os candidatos,226
2018,Todos os candidatos,220
2018,Todos os candidatos,218
2018,Todos os candidatos,233
2018,Todos os candidatos,225
2018,Todos os candidatos,202
2018,Todos os candidatos,228
2018,Todos os candidatos,216
2018,Todos os candidatos,231
2018,Todos os candidatos,228
2018,Todos os candidatos,217
2018,Todos os candidatos,226
2018,Todos os candidatos,231
2018,Todos os candidatos,232
2018,Todos os candidatos,211
2018,Todos os candidatos,230
2018,Todos os candidatos,228
2018,Todos os candidatos,222
2018,Todos os candidatos,225
2018,Todos os candidatos,233
2018,Todos os candidatos,232
2018,Todos os candidatos,233
2018,Todos os candidatos,223
2018,Todos os candidatos,225
2018,Todos os candidatos,229
2018,Todos os candidatos,224
2018,Todos os candidatos,240
2018,Todos os candidatos,238
2018,Todos os candidatos,214
2018,Todos os candidatos,238
2018,Todos os candidatos,216
2018,Todos os candidatos,222
2018,Todos os candidatos,223
2018,Todos os candidatos,221
2018,Todos os candidatos,213
2018,Todos os candidatos,229
2018,Todos os candidatos,220
2018,Todos os candidatos,211
2018,Todos os candidatos,228
2018,Todos os candidatos,233
2018,Todos os candidatos,227
2018,Todos os candidatos,232
2018,Todos os candidatos,237
2018,Todos os candidatos,217
2018,Todos os candidatos,213
2018,Todos os candidatos,221
2018,Todos os candidatos,230
2018,Todos os candidatos,231
2018,Todos os candidatos,212
2018,Todos os candidatos,234
2018,Todos os candidatos,227
2018,Todos os candidatos,208
2018,Todos os candidatos,222
2018,Todos os candidatos,216
2018,Todos os candidatos,226
2018,Todos os candidatos,214
2018,Todos os candidatos,245
2018,Todos os candidatos,218
2018,Todos os candidatos,239
2018,Todos os candidatos,216
2018,Todos os candidatos,225
2018,Todos os candidatos,224
2018,Todos os candidatos,232
2018,Todos os candidatos,233
2018,Todos os candidatos,216
2018,Todos os candidatos,224
2018,Todos os candidatos,226
2018,Todos os candidatos,223
2018,Todos os candidatos,224
2018,Todos os candidatos,223
2018,Todos os candidatos,237
2018,Todos os candidatos,220
2018,Todos os candidatos,225
2018,Todos os candidatos,238
2018,Todos os candidatos,232
2018,Todos os candidatos,227
2018,Todos os candidatos,216
2018,Todos os candidatos,237
2018,Todos os candidatos,235
2018,Todos os candidatos,232
2018,Todos os candidatos,234
2018,Todos os candidatos,229
2018,Todos os candidatos,234
2018,Todos os candidatos,231
2018,Todos os candidatos,216
2018,Todos os candidatos,218
2018,Todos os candidatos,225
2018,Todos os candidatos,231
2018,Todos os candidatos,226
2018,Todos os candidatos,237
2018,Todos os candidatos,235
2018,Todos os candidatos,225
2018,Todos os candidatos,214
2018,Todos os candidatos,216
2018,Todos os candidatos,229
2018,Todos os candidatos,244
2018,Todos os candidatos,226
2018,Todos os candidatos,230
2018,Todos os candidatos,240
2018,Todos os candidatos,221
2018,Todos os candidatos,216
2018,Todos os candidatos,217
2018,Todos os candidatos,220
2018,Todos os candidatos,207
2018,Todos os candidatos,204
2018,Todos os candidatos,225
2018,Todos os candidatos,215
2018,Todos os candidatos,220
2018,Todos os candidatos,214
2018,Todos os candidatos,236
2018,Todos os candidatos,234
2018,Todos os candidatos,231
2018,Todos os candidatos,232
2018,Todos os candidatos,235
2018,Todos os candidatos,211
2018,Todos os candidatos,222
2018,Todos os candidatos,242
2018,Todos os candidatos,216
2018,Todos os candidatos,224
2018,Todos os candidatos,213
2018,Todos os candidatos,224
2018,Todos os candidatos,235
2018,Todos os candidatos,216
2018,Todos os candidatos,221
2018,Todos os candidatos,213
2018,Todos os candidatos,223
2018,Todos os candidatos,242
2018,Todos os candidatos,217
2018,Todos os candidatos,204
2018,Todos os candidatos,227
2018,Todos os candidatos,228
2018,Todos os candidatos,239
2018,Todos os candidatos,207
2018,Todos os candidatos,225
2018,Todos os candidatos,223
2018,Todos os candidatos,220
2018,Todos os candidatos,221
2018,Todos os candidatos,232
2018,Todos os candidatos,213
2018,Todos os candidatos,228
2018,Todos os candidatos,246
2018,Todos os candidatos,218
2018,Todos os candidatos,224
2018,Todos os candidatos,234
2018,Todos os candidatos,218
2018,Todos os candidatos,244
2018,Todos os candidatos,226
2018,Todos os candidatos,230
2018,Todos os candidatos,234
2018,Todos os candidatos,230
2018,Todos os candidatos,214
2018,Todos os candidatos,226
2018,Todos os candidatos,226
2018,Todos os candidatos,230
2018,Todos os candidatos,216
2018,Todos os candidatos,245
2018,Todos os candidatos,242
2018,Todos os candidatos,214
2018,Todos os candidatos,222
2018,Todos os candidatos,224
2018,Todos os candidatos,213
2018,Todos os candidatos,215
2018,Todos os candidatos,224
2018,Todos os candidatos,232
2018,Todos os candidatos,223
2018,Todos os candidatos,233
2018,Todos os candidatos,221
2018,Todos os candidatos,208
2018,Todos os candidatos,230
2018,Todos os candidatos,211
2018,Todos os candidatos,220
2018,Todos os candidatos,229
2018,Todos os candidatos,236
2018,Todos os candidatos,224
2018,Todos os candidatos,232
2018,Todos os candidatos,218
2018,Todos os candidatos,216
2018,Todos os candidatos,239
2018,Todos os candidatos,236
2018,Todos os candidatos,225
2018,Todos os candidatos,221
2018,Todos os candidatos,227
2018,Todos os candidatos,221
2018,Todos os candidatos,219
2018,Todos os candidatos,207
2018,Todos os candidatos,234
2018,Todos os candidatos,237
2018,Todos os candidatos,223
2018,Todos os candidatos,224
2018,Todos os candidatos,211
2018,Todos os candidatos,232
2018,Todos os candidatos,215
2018,Todos os candidatos,214
2018,Todos os candidatos,233
2018,Todos os candidatos,230
2018,Todos os candidatos,225
2018,Todos os candidatos,224
2018,Todos os candidatos,224
2018,Todos os candidatos,224
2018,Todos os candidatos,227
2018,Todos os candidatos,214
2018,Todos os candidatos,217
2018,Todos os candidatos,246
2018,Todos os candidatos,216
2018,Todos os candidatos,210
2018,Todos os candidatos,218
2018,Todos os candidatos,226
2018,Todos os candidatos,225
2018,Todos os candidatos,222
2018,Todos os candidatos,232
2018,Todos os candidatos,230
2018,Todos os candidatos,230
2018,Todos os candidatos,223
2018,Todos os candidatos,216
2018,Todos os candidatos,238
2018,Todos os candidatos,213
2018,Todos os candidatos,231
2018,Todos os candidatos,210
2018,Todos os candidatos,225
2018,Todos os candidatos,234
2018,Todos os candidatos,208
2018,Todos os candidatos,233
2018,Todos os candidatos,222
2018,Todos os candidatos,225
2018,Todos os candidatos,225
2018,Todos os candidatos,227
2018,Todos os candidatos,215
2018,Todos os candidatos,232
2018,Todos os candidatos,227
2018,Todos os candidatos,216
2018,Todos os candidatos,231
2018,Todos os candidatos,232
2018,Todos os candidatos,216
2018,Todos os candidatos,222
2018,Todos os candidatos,214
2018,Todos os candidatos,231
2018,Todos os candidatos,223
2018,Todos os candidatos,229
2018,Todos os candidatos,219
2018,Todos os candidatos,214
2018,Todos os candidatos,224
2018,Todos os candidatos,221
2018,Todos os candidatos,215
2018,Todos os candidatos,226
2018,Todos os candidatos,233
2018,Todos os candidatos,221
2018,Todos os candidatos,230
2018,Todos os candidatos,220
2018,Todos os candidatos,239
2018,Todos os candidatos,219
2018,Todos os candidatos,222
2018,Todos os candidatos,209
2018,Todos os candidatos,230
2018,Todos os candidatos,217
2018,Todos os candidatos,211
2018,Todos os candidatos,223
2018,Todos os candidatos,225
2018,Todos os candidatos,231
2018,Todos os candidatos,213
2018,Todos os candidatos,218
2018,Todos os candidatos,220
2018,Todos os candidatos,233
2018,Todos os candidatos,226
2018,Todos os candidatos,210
2018,Todos os candidatos,233
2018,Todos os candidatos,226
2018,Todos os candidatos,229
2018,Todos os candidatos,217
2018,Todos os candidatos,219
2018,Todos os candidatos,230
2018,Todos os candidatos,216
2018,Todos os candidatos,226
2018,Todos os candidatos,210
2018,Todos os candidatos,243
2018,Todos os candidatos,229
2018,Todos os candidatos,219
2018,Todos os candidatos,219
2018,Todos os candidatos,217
2018,Todos os candidatos,223
2018,Todos os candidatos,240
2018,Todos os candidatos,236
2018,Todos os candidatos,242
